* Generating 50 random lists with 4096 elements...
List average: 9.792. Approximation average: 9.792. Error: 0.000
List average: 10.006. Approximation average: 10.006. Error: 0.000
List average: 10.024. Approximation average: 10.024. Error: 0.000
List average: 10.003. Approximation average: 10.003. Error: 0.000
List average: 9.862. Approximation average: 9.862. Error: 0.000
List average: 9.993. Approximation average: 9.993. Error: 0.000
List average: 10.134. Approximation average: 10.134. Error: 0.000
List average: 10.138. Approximation average: 10.138. Error: 0.000
List average: 10.020. Approximation average: 10.020. Error: 0.000
List average: 9.993. Approximation average: 9.993. Error: 0.000
List average: 10.012. Approximation average: 10.012. Error: 0.000
List average: 10.048. Approximation average: 10.048. Error: 0.000
List average: 10.078. Approximation average: 10.078. Error: 0.000
List average: 10.040. Approximation average: 10.040. Error: 0.000
List average: 10.012. Approximation average: 10.012. Error: 0.000
List average: 10.087. Approximation average: 10.087. Error: 0.000
List average: 10.042. Approximation average: 10.042. Error: 0.000
Average error: 0.000
* Estimating errors at 1/8 resolution...
List average: 9.890. Approximation average: 9.890. Error: 0.000
List average: 9.945. Approximation average: 9.945. Error: 0.000
List average: 10.159. Approximation average: 10.159. Error: 0.000
List average: 10.019. Approximation average: 10.019. Error: 0.000
List average: 9.972. Approximation average: 9.972. Error: 0.000
List average: 9.918. Approximation average: 9.918. Error: 0.000
List average: 10.074. Approximation average: 10.074. Error: 0.000
List average: 10.054. Approximation average: 10.054. Error: 0.000
List average: 10.148. Approximation average: 10.148. Error: 0.000
List average: 10.026. Approximation average: 10.026. Error: 0.000
List average: 10.047. Approximation average: 10.047. Error: 0.000
List average: 10.027. Approximation average: 10.027. Error: 0.000
List average: 9.980. Approximation average: 9.980. Error: 0.000
List average: 9.969. Approximation average: 9.969. Error: 0.000
List average: 10.043. Approximation average: 10.043. Error: 0.000
List average: 9.788. Approximation average: 9.788. Error: 0.000
List average: 10.090. Approximation average: 10.090. Error: 0.000
List average: 10.181. Approximation average: 10.181. Error: 0.000
List average: 9.933. Approximation average: 9.933. Error: 0.000
List average: 9.910. Approximation average: 9.910. Error: 0.000
List average: 9.835. Approximation average: 9.835. Error: 0.000
List average: 10.056. Approximation average: 10.056. Error: 0.000
List average: 10.052. Approximation average: 10.052. Error: 0.000
List average: 10.110. Approximation average: 10.110. Error: 0.000
List average: 10.010. Approximation average: 10.010. Error: 0.000
List average: 10.103. Approximation average: 10.103. Error: 0.000
List average: 10.004. Approximation average: 10.004. Error: 0.000
List average: 10.056. Approximation average: 10.056. Error: 0.000
List average: 10.075. Approximation average: 10.075. Error: 0.000
List average: 10.173. Approximation average: 10.173. Error: 0.000
List average: 9.896. Approximation average: 9.896. Error: 0.000
List average: 9.972. Approximation average: 9.972. Error: 0.000
List average: 9.963. Approximation average: 9.963. Error: 0.000
List average: 9.792. Approximation average: 9.792. Error: 0.000
List average: 10.006. Approximation average: 10.006. Error: 0.000
List average: 10.024. Approximation average: 10.024. Error: 0.000
List average: 10.003. Approximation average: 10.003. Error: 0.000
List average: 9.862. Approximation average: 9.862. Error: 0.000
List average: 9.993. Approximation average: 9.993. Error: 0.000
List average: 10.134. Approximation average: 10.134. Error: 0.000
List average: 10.138. Approximation average: 10.138. Error: 0.000
List average: 10.020. Approximation average: 10.020. Error: 0.000
List average: 9.993. Approximation average: 9.993. Error: 0.000
List average: 10.012. Approximation average: 10.012. Error: 0.000
List average: 10.048. Approximation average: 10.048. Error: 0.000
List average: 10.078. Approximation average: 10.078. Error: 0.000
List average: 10.040. Approximation average: 10.040. Error: 0.000
List average: 10.012. Approximation average: 10.012. Error: 0.000
List average: 10.087. Approximation average: 10.087. Error: 0.000
List average: 10.042. Approximation average: 10.042. Error: 0.000
Average error: 0.000
* Estimating errors at 1/16 resolution...
List average: 9.890. Approximation average: 9.890. Error: 0.000
List average: 9.945. Approximation average: 9.945. Error: 0.000
List average: 10.159. Approximation average: 10.159. Error: 0.000
List average: 10.019. Approximation average: 10.019. Error: 0.000
List average: 9.972. Approximation average: 9.972. Error: 0.000
List average: 9.918. Approximation average: 9.918. Error: 0.000
List average: 10.074. Approximation average: 10.074. Error: 0.000
List average: 10.054. Approximation average: 10.054. Error: 0.000
List average: 10.148. Approximation average: 10.148. Error: 0.000
List average: 10.026. Approximation average: 10.026. Error: 0.000
List average: 10.047. Approximation average: 10.047. Error: 0.000
List average: 10.027. Approximation average: 10.027. Error: 0.000
List average: 9.980. Approximation average: 9.980. Error: 0.000
List average: 9.969. Approximation average: 9.969. Error: 0.000
List average: 10.043. Approximation average: 10.043. Error: 0.000
List average: 9.788. Approximation average: 9.788. Error: 0.000
List average: 10.090. Approximation average: 10.090. Error: 0.000
List average: 10.181. Approximation average: 10.181. Error: 0.000
List average: 9.933. Approximation average: 9.933. Error: 0.000
List average: 9.910. Approximation average: 9.910. Error: 0.000
List average: 9.835. Approximation average: 9.835. Error: 0.000
List average: 10.056. Approximation average: 10.056. Error: 0.000
List average: 10.052. Approximation average: 10.052. Error: 0.000
List average: 10.110. Approximation average: 10.110. Error: 0.000
List average: 10.010. Approximation average: 10.010. Error: 0.000
List average: 10.103. Approximation average: 10.103. Error: 0.000
List average: 10.004. Approximation average: 10.004. Error: 0.000
List average: 10.056. Approximation average: 10.056. Error: 0.000
List average: 10.075. Approximation average: 10.075. Error: 0.000
List average: 10.173. Approximation average: 10.173. Error: 0.000
List average: 9.896. Approximation average: 9.896. Error: 0.000
List average: 9.972. Approximation average: 9.972. Error: 0.000
List average: 9.963. Approximation average: 9.963. Error: 0.000
List average: 9.792. Approximation average: 9.792. Error: 0.000
List average: 10.006. Approximation average: 10.006. Error: 0.000
List average: 10.024. Approximation average: 10.024. Error: 0.000
List average: 10.003. Approximation average: 10.003. Error: 0.000
List average: 9.862. Approximation average: 9.862. Error: 0.000
List average: 9.993. Approximation average: 9.993. Error: 0.000
List average: 10.134. Approximation average: 10.134. Error: 0.000
List average: 10.138. Approximation average: 10.138. Error: 0.000
List average: 10.020. Approximation average: 10.020. Error: 0.000
List average: 9.993. Approximation average: 9.993. Error: 0.000
List average: 10.012. Approximation average: 10.012. Error: 0.000
List average: 10.048. Approximation average: 10.048. Error: 0.000
List average: 10.078. Approximation average: 10.078. Error: 0.000
List average: 10.040. Approximation average: 10.040. Error: 0.000
List average: 10.012. Approximation average: 10.012. Error: 0.000
List average: 10.087. Approximation average: 10.087. Error: 0.000
List average: 10.042. Approximation average: 10.042. Error: 0.000
Average error: 0.000
* Estimating errors at 1/32 resolution...
List average: 9.890. Approximation average: 9.890. Error: 0.000
List average: 9.945. Approximation average: 9.945. Error: 0.000
List average: 10.159. Approximation average: 10.159. Error: 0.000
List average: 10.019. Approximation average: 10.019. Error: 0.000
List average: 9.972. Approximation average: 9.972. Error: 0.000
List average: 9.918. Approximation average: 9.918. Error: 0.000
List average: 10.074. Approximation average: 10.074. Error: 0.000
List average: 10.054. Approximation average: 10.054. Error: 0.000
List average: 10.148. Approximation average: 10.148. Error: 0.000
List average: 10.026. Approximation average: 10.026. Error: 0.000
List average: 10.047. Approximation average: 10.047. Error: 0.000
List average: 10.027. Approximation average: 10.027. Error: 0.000
List average: 9.980. Approximation average: 9.980. Error: 0.000
List average: 9.969. Approximation average: 9.969. Error: 0.000
List average: 10.043. Approximation average: 10.043. Error: 0.000
List average: 9.788. Approximation average: 9.788. Error: 0.000
List average: 10.090. Approximation average: 10.090. Error: 0.000
List average: 10.181. Approximation average: 10.181. Error: 0.000
List average: 9.933. Approximation average: 9.933. Error: 0.000
List average: 9.910. Approximation average: 9.910. Error: 0.000
List average: 9.835. Approximation average: 9.835. Error: 0.000
List average: 10.056. Approximation average: 10.056. Error: 0.000
List average: 10.052. Approximation average: 10.052. Error: 0.000
List average: 10.110. Approximation average: 10.110. Error: 0.000
List average: 10.010. Approximation average: 10.010. Error: 0.000
List average: 10.103. Approximation average: 10.103. Error: 0.000
List average: 10.004. Approximation average: 10.004. Error: 0.000
List average: 10.056. Approximation average: 10.056. Error: 0.000
List average: 10.075. Approximation average: 10.075. Error: 0.000
List average: 10.173. Approximation average: 10.173. Error: 0.000
List average: 9.896. Approximation average: 9.896. Error: 0.000
List average: 9.972. Approximation average: 9.972. Error: 0.000
List average: 9.963. Approximation average: 9.963. Error: 0.000
List average: 9.792. Approximation average: 9.792. Error: 0.000
List average: 10.006. Approximation average: 10.006. Error: 0.000
List average: 10.024. Approximation average: 10.024. Error: 0.000
List average: 10.003. Approximation average: 10.003. Error: 0.000
List average: 9.862. Approximation average: 9.862. Error: 0.000
List average: 9.993. Approximation average: 9.993. Error: 0.000
List average: 10.134. Approximation average: 10.134. Error: 0.000
List average: 10.138. Approximation average: 10.138. Error: 0.000
List average: 10.020. Approximation average: 10.020. Error: 0.000
List average: 9.993. Approximation average: 9.993. Error: 0.000
List average: 10.012. Approximation average: 10.012. Error: 0.000
List average: 10.048. Approximation average: 10.048. Error: 0.000
List average: 10.078. Approximation average: 10.078. Error: 0.000
List average: 10.040. Approximation average: 10.040. Error: 0.000
List average: 10.012. Approximation average: 10.012. Error: 0.000
List average: 10.087. Approximation average: 10.087. Error: 0.000
List average: 10.042. Approximation average: 10.042. Error: 0.000
Average error: 0.000
* Estimating errors at 1/64 resolution...
List average: 9.890. Approximation average: 9.890. Error: 0.000
List average: 9.945. Approximation average: 9.945. Error: 0.000
List average: 10.159. Approximation average: 10.159. Error: 0.000
List average: 10.019. Approximation average: 10.019. Error: 0.000
List average: 9.972. Approximation average: 9.972. Error: 0.000
List average: 9.918. Approximation average: 9.918. Error: 0.000
List average: 10.074. Approximation average: 10.074. Error: 0.000
List average: 10.054. Approximation average: 10.054. Error: 0.000
List average: 10.148. Approximation average: 10.148. Error: 0.000
List average: 10.026. Approximation average: 10.026. Error: 0.000
List average: 10.047. Approximation average: 10.047. Error: 0.000
List average: 10.027. Approximation average: 10.027. Error: 0.000
List average: 9.980. Approximation average: 9.980. Error: 0.000
List average: 9.969. Approximation average: 9.969. Error: 0.000
List average: 10.043. Approximation average: 10.043. Error: 0.000
List average: 9.788. Approximation average: 9.788. Error: 0.000
List average: 10.090. Approximation average: 10.090. Error: 0.000
List average: 10.181. Approximation average: 10.181. Error: 0.000
List average: 9.933. Approximation average: 9.933. Error: 0.000
List average: 9.910. Approximation average: 9.910. Error: 0.000
List average: 9.835. Approximation average: 9.835. Error: 0.000
List average: 10.056. Approximation average: 10.056. Error: 0.000
List average: 10.052. Approximation average: 10.052. Error: 0.000
List average: 10.110. Approximation average: 10.110. Error: 0.000
List average: 10.010. Approximation average: 10.010. Error: 0.000
List average: 10.103. Approximation average: 10.103. Error: 0.000
List average: 10.004. Approximation average: 10.004. Error: 0.000
List average: 10.056. Approximation average: 10.056. Error: 0.000
List average: 10.075. Approximation average: 10.075. Error: 0.000
List average: 10.173. Approximation average: 10.173. Error: 0.000
List average: 9.896. Approximation average: 9.896. Error: 0.000
List average: 9.972. Approximation average: 9.972. Error: 0.000
List average: 9.963. Approximation average: 9.963. Error: 0.000
List average: 9.792. Approximation average: 9.792. Error: 0.000
List average: 10.006. Approximation average: 10.006. Error: 0.000
List average: 10.024. Approximation average: 10.024. Error: 0.000
List average: 10.003. Approximation average: 10.003. Error: 0.000
List average: 9.862. Approximation average: 9.862. Error: 0.000
List average: 9.993. Approximation average: 9.993. Error: 0.000
List average: 10.134. Approximation average: 10.134. Error: 0.000
List average: 10.138. Approximation average: 10.138. Error: 0.000
List average: 10.020. Approximation average: 10.020. Error: 0.000
List average: 9.993. Approximation average: 9.993. Error: 0.000
List average: 10.012. Approximation average: 10.012. Error: 0.000
List average: 10.048. Approximation average: 10.048. Error: 0.000
List average: 10.078. Approximation average: 10.078. Error: 0.000
List average: 10.040. Approximation average: 10.040. Error: 0.000
List average: 10.012. Approximation average: 10.012. Error: 0.000
List average: 10.087. Approximation average: 10.087. Error: 0.000
List average: 10.042. Approximation average: 10.042. Error: 0.000
Average error: 0.000
* Estimating errors at 1/128 resolution...
List average: 9.890. Approximation average: 9.890. Error: 0.000
List average: 9.945. Approximation average: 9.945. Error: 0.000
List average: 10.159. Approximation average: 10.159. Error: 0.000
List average: 10.019. Approximation average: 10.019. Error: 0.000
List average: 9.972. Approximation average: 9.972. Error: 0.000
List average: 9.918. Approximation average: 9.918. Error: 0.000
List average: 10.074. Approximation average: 10.074. Error: 0.000
List average: 10.054. Approximation average: 10.054. Error: 0.000
List average: 10.148. Approximation average: 10.148. Error: 0.000
List average: 10.026. Approximation average: 10.026. Error: 0.000
List average: 10.047. Approximation average: 10.047. Error: 0.000
List average: 10.027. Approximation average: 10.027. Error: 0.000
List average: 9.980. Approximation average: 9.980. Error: 0.000
List average: 9.969. Approximation average: 9.969. Error: 0.000
List average: 10.043. Approximation average: 10.043. Error: 0.000
List average: 9.788. Approximation average: 9.788. Error: 0.000
List average: 10.090. Approximation average: 10.090. Error: 0.000
List average: 10.181. Approximation average: 10.181. Error: 0.000
List average: 9.933. Approximation average: 9.933. Error: 0.000
List average: 9.910. Approximation average: 9.910. Error: 0.000
List average: 9.835. Approximation average: 9.835. Error: 0.000
List average: 10.056. Approximation average: 10.056. Error: 0.000
List average: 10.052. Approximation average: 10.052. Error: 0.000
List average: 10.110. Approximation average: 10.110. Error: 0.000
List average: 10.010. Approximation average: 10.010. Error: 0.000
List average: 10.103. Approximation average: 10.103. Error: 0.000
List average: 10.004. Approximation average: 10.004. Error: 0.000
List average: 10.056. Approximation average: 10.056. Error: 0.000
List average: 10.075. Approximation average: 10.075. Error: 0.000
List average: 10.173. Approximation average: 10.173. Error: 0.000
List average: 9.896. Approximation average: 9.896. Error: 0.000
List average: 9.972. Approximation average: 9.972. Error: 0.000
List average: 9.963. Approximation average: 9.963. Error: 0.000
List average: 9.792. Approximation average: 9.792. Error: 0.000
List average: 10.006. Approximation average: 10.006. Error: 0.000
List average: 10.024. Approximation average: 10.024. Error: 0.000
List average: 10.003. Approximation average: 10.003. Error: 0.000
List average: 9.862. Approximation average: 9.862. Error: 0.000
List average: 9.993. Approximation average: 9.993. Error: 0.000
List average: 10.134. Approximation average: 10.134. Error: 0.000
List average: 10.138. Approximation average: 10.138. Error: 0.000
List average: 10.020. Approximation average: 10.020. Error: 0.000
List average: 9.993. Approximation average: 9.993. Error: 0.000
List average: 10.012. Approximation average: 10.012. Error: 0.000
List average: 10.048. Approximation average: 10.048. Error: 0.000
List average: 10.078. Approximation average: 10.078. Error: 0.000
List average: 10.040. Approximation average: 10.040. Error: 0.000
List average: 10.012. Approximation average: 10.012. Error: 0.000
List average: 10.087. Approximation average: 10.087. Error: 0.000
List average: 10.042. Approximation average: 10.042. Error: 0.000
Average error: 0.000
* Estimating errors at 1/256 resolution...
List average: 9.890. Approximation average: 9.890. Error: 0.000
List average: 9.945. Approximation average: 9.945. Error: 0.000
List average: 10.159. Approximation average: 10.159. Error: 0.000
List average: 10.019. Approximation average: 10.019. Error: 0.000
List average: 9.972. Approximation average: 9.972. Error: 0.000
List average: 9.918. Approximation average: 9.918. Error: 0.000
List average: 10.074. Approximation average: 10.074. Error: 0.000
List average: 10.054. Approximation average: 10.054. Error: 0.000
List average: 10.148. Approximation average: 10.148. Error: 0.000
List average: 10.026. Approximation average: 10.026. Error: 0.000
List average: 10.047. Approximation average: 10.047. Error: 0.000
List average: 10.027. Approximation average: 10.027. Error: 0.000
List average: 9.980. Approximation average: 9.980. Error: 0.000
List average: 9.969. Approximation average: 9.969. Error: 0.000
List average: 10.043. Approximation average: 10.043. Error: 0.000
List average: 9.788. Approximation average: 9.788. Error: 0.000
List average: 10.090. Approximation average: 10.090. Error: 0.000
List average: 10.181. Approximation average: 10.181. Error: 0.000
List average: 9.933. Approximation average: 9.933. Error: 0.000
List average: 9.910. Approximation average: 9.910. Error: 0.000
List average: 9.835. Approximation average: 9.835. Error: 0.000
List average: 10.056. Approximation average: 10.056. Error: 0.000
List average: 10.052. Approximation average: 10.052. Error: 0.000
List average: 10.110. Approximation average: 10.110. Error: 0.000
List average: 10.010. Approximation average: 10.010. Error: 0.000
List average: 10.103. Approximation average: 10.103. Error: 0.000
List average: 10.004. Approximation average: 10.004. Error: 0.000
List average: 10.056. Approximation average: 10.056. Error: 0.000
List average: 10.075. Approximation average: 10.075. Error: 0.000
List average: 10.173. Approximation average: 10.173. Error: 0.000
List average: 9.896. Approximation average: 9.896. Error: 0.000
List average: 9.972. Approximation average: 9.972. Error: 0.000
List average: 9.963. Approximation average: 9.963. Error: 0.000
List average: 9.792. Approximation average: 9.792. Error: 0.000
List average: 10.006. Approximation average: 10.006. Error: 0.000
List average: 10.024. Approximation average: 10.024. Error: 0.000
List average: 10.003. Approximation average: 10.003. Error: 0.000
List average: 9.862. Approximation average: 9.862. Error: 0.000
List average: 9.993. Approximation average: 9.993. Error: 0.000
List average: 10.134. Approximation average: 10.134. Error: 0.000
List average: 10.138. Approximation average: 10.138. Error: 0.000
List average: 10.020. Approximation average: 10.020. Error: 0.000
List average: 9.993. Approximation average: 9.993. Error: 0.000
List average: 10.012. Approximation average: 10.012. Error: 0.000
List average: 10.048. Approximation average: 10.048. Error: 0.000
List average: 10.078. Approximation average: 10.078. Error: 0.000
List average: 10.040. Approximation average: 10.040. Error: 0.000
List average: 10.012. Approximation average: 10.012. Error: 0.000
List average: 10.087. Approximation average: 10.087. Error: 0.000
List average: 10.042. Approximation average: 10.042. Error: 0.000
Average error: 0.000
* Estimating errors at 1/512 resolution...
List average: 9.890. Approximation average: 9.890. Error: 0.000
List average: 9.945. Approximation average: 9.945. Error: 0.000
List average: 10.159. Approximation average: 10.159. Error: 0.000
List average: 10.019. Approximation average: 10.019. Error: 0.000
List average: 9.972. Approximation average: 9.972. Error: 0.000
List average: 9.918. Approximation average: 9.918. Error: 0.000
List average: 10.074. Approximation average: 10.074. Error: 0.000
List average: 10.054. Approximation average: 10.054. Error: 0.000
List average: 10.148. Approximation average: 10.148. Error: 0.000
List average: 10.026. Approximation average: 10.026. Error: 0.000
List average: 10.047. Approximation average: 10.047. Error: 0.000
List average: 10.027. Approximation average: 10.027. Error: 0.000
List average: 9.980. Approximation average: 9.980. Error: 0.000
List average: 9.969. Approximation average: 9.969. Error: 0.000
List average: 10.043. Approximation average: 10.043. Error: 0.000
List average: 9.788. Approximation average: 9.788. Error: 0.000
List average: 10.090. Approximation average: 10.090. Error: 0.000
List average: 10.181. Approximation average: 10.181. Error: 0.000
List average: 9.933. Approximation average: 9.933. Error: 0.000
List average: 9.910. Approximation average: 9.910. Error: 0.000
List average: 9.835. Approximation average: 9.835. Error: 0.000
List average: 10.056. Approximation average: 10.056. Error: 0.000
List average: 10.052. Approximation average: 10.052. Error: 0.000
List average: 10.110. Approximation average: 10.110. Error: 0.000
List average: 10.010. Approximation average: 10.010. Error: 0.000
List average: 10.103. Approximation average: 10.103. Error: 0.000
List average: 10.004. Approximation average: 10.004. Error: 0.000
List average: 10.056. Approximation average: 10.056. Error: 0.000
List average: 10.075. Approximation average: 10.075. Error: 0.000
List average: 10.173. Approximation average: 10.173. Error: 0.000
List average: 9.896. Approximation average: 9.896. Error: 0.000
List average: 9.972. Approximation average: 9.972. Error: 0.000
List average: 9.963. Approximation average: 9.963. Error: 0.000
List average: 9.792. Approximation average: 9.792. Error: 0.000
List average: 10.006. Approximation average: 10.006. Error: 0.000
List average: 10.024. Approximation average: 10.024. Error: 0.000
List average: 10.003. Approximation average: 10.003. Error: 0.000
List average: 9.862. Approximation average: 9.862. Error: 0.000
List average: 9.993. Approximation average: 9.993. Error: 0.000
List average: 10.134. Approximation average: 10.134. Error: 0.000
List average: 10.138. Approximation average: 10.138. Error: 0.000
List average: 10.020. Approximation average: 10.020. Error: 0.000
List average: 9.993. Approximation average: 9.993. Error: 0.000
List average: 10.012. Approximation average: 10.012. Error: 0.000
List average: 10.048. Approximation average: 10.048. Error: 0.000
List average: 10.078. Approximation average: 10.078. Error: 0.000
List average: 10.040. Approximation average: 10.040. Error: 0.000
List average: 10.012. Approximation average: 10.012. Error: 0.000
List average: 10.087. Approximation average: 10.087. Error: 0.000
List average: 10.042. Approximation average: 10.042. Error: 0.000
Average error: 0.000
* Estimating errors at 1/1024 resolution...
List average: 9.890. Approximation average: 9.890. Error: 0.000
List average: 9.945. Approximation average: 9.945. Error: 0.000
List average: 10.159. Approximation average: 10.159. Error: 0.000
List average: 10.019. Approximation average: 10.019. Error: 0.000
List average: 9.972. Approximation average: 9.972. Error: 0.000
List average: 9.918. Approximation average: 9.918. Error: 0.000
